file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00023_06387.400-06388.850,ད་གཉིས་སྣང་མཐའ་དག་ལོག་པས་ ,da gnyis snang mtha' dag log pas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06387.400-06388.850.wav,STT_TT,3,26,1.4500000000007276,wav16k/STT_TT00023_06387.400-06388.850.wav,ད་གཉིས་སྣང་མཐའ་དག་ལོག་པའི་
STT_TT00023_06389.900-06394.050,ད་དོན་དམ་དངོས་ཟེར་དགོས་རེད་བེ་ད། འོ་ན་དོན་དམ་པ་ནི་གང་དག་བློ་ཐམས་ཅད་ལས་འདས་པ་ཡིན་ལ།  ,da don dam dngos zer dgos red be da/_'o na don dam pa ni gang dag blo thams cad las 'das pa yin la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06389.900-06394.050.wav,STT_TT,3,84,4.150000000000546,wav16k/STT_TT00023_06389.900-06394.050.wav,ད་དོན་དམ་དངོས་ཟེར་དགོས་རེད་བེ་ད། འོ་ན་དོན་དམ་པ་ནི་གང་དག་བློ་ཐམས་ཅད་ལས་འདས་པ་ཡིན་ལ།
STT_TT00023_06394.700-06398.300,དངོས་པོའི་ངོ་བོ་ཉིད་དགག་པ་ནི་ཡི་གེའི་ཡུལ་ཡིན་པས་དེའི་ཕྱིར་ ,dngos po'i ngo bo nyid dgag pa ni yi ge'i yul yin pas de'i phyir _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06394.700-06398.300.wav,STT_TT,3,59,3.600000000000364,wav16k/STT_TT00023_06394.700-06398.300.wav,དངོས་པོའི་ངོ་བོ་ཉིད་དགག་པ་ནི་ཡི་གེའི་ཡུལ་ཡིན་པས་དེའི་ཕྱིར་
STT_TT00023_06398.550-06400.450,ཨ། དགག་པ་མེད་པར་མི་འགྱུར་རམ་ཞེ་ན།  ,a/_dgag pa med par mi 'gyur ram zhe na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06398.550-06400.450.wav,STT_TT,3,35,1.899999999999636,wav16k/STT_TT00023_06398.550-06400.450.wav,ཨེ། དགག་པ་མེད་པར་མི་འགྱུར་རམ་ཞེ་ན།
STT_TT00023_06400.650-06402.150,དོན་དམ་པ་ནི་རྣམ་པ་གཉིས་ཏེ།  ,don dam pa ni rnam pa gnyis te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06400.650-06402.150.wav,STT_TT,3,28,1.5,wav16k/STT_TT00023_06400.650-06402.150.wav,དོན་དམ་པ་ནི་རྣམ་པ་གཉིས་ཏེ།
STT_TT00023_06402.450-06405.650,དེ་ལ་གཅིག་ནི་མངོན་པར་འདུ་བྱེད་པ་མེད་པར་འཇུག་པའི་ ,de la gcig ni mngon par 'du byed pa med par 'jug pa'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06402.450-06405.650.wav,STT_TT,3,49,3.199999999999818,wav16k/STT_TT00023_06402.450-06405.650.wav,དེ་ལ་གཅིག་ནི་མངོན་པར་འདུ་བྱེད་པ་མེད་པར་འཇུག་པའི་
STT_TT00023_06405.800-06406.600,འཇིག་རྟེན་ལས་འདས་པ་ ,'jig rten las 'das pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06405.800-06406.600.wav,STT_TT,3,20,0.8000000000001819,wav16k/STT_TT00023_06405.800-06406.600.wav,འཇིག་རྟེན་ལས་འདས་པ་
STT_TT00023_06406.850-06408.500,ཟག་པ་མེད་པ་སྤྲོས་པ་མེད་པའོ།  ,zag pa med pa spros pa med pa'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06406.850-06408.500.wav,STT_TT,3,29,1.6499999999996362,wav16k/STT_TT00023_06406.850-06408.500.wav,ཟག་པ་མེད་པ། སྤྲོས་པ་མེད་པའོ།
STT_TT00023_06410.550-06412.750,གཉིས་སྣང་མཐའ་དག་འགགས་ནས་སྣང་ངོ་ལ་ཡང་ ,gnyis snang mtha' dag 'gags nas snang ngo la yang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06410.550-06412.750.wav,STT_TT,3,37,2.199999999999818,wav16k/STT_TT00023_06410.550-06412.750.wav,གཉིས་སྣང་མཐའ་དག་འགགས་ནས་སྣང་ངོ་ལ་ཡང་
STT_TT00023_06413.250-06415.250,ངན་ངོན་ཙམ་དུ་མ་ཟད་པའི་སྣང་ངོ་ལ་ཡེ་གཉིས་སྣང་མཐའ་དག་ ,ngan ngon tsam du ma zad pa'i snang ngo la ye gnyis snang mtha' dag _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00023_06413.250-06415.250.wav,STT_TT,3,51,2.0,wav16k/STT_TT00023_06413.250-06415.250.wav,ངན་ངོ་ཙམ་དུ་མ་ཟད་པའི་སྣང་ངོ་ལཡང་གཉིས་སྣང་མཐའ་དག་
